,id,type,count,accesories2,idaccesories
0,0,Female,1,Green Eye Shadow,42
1,0,Female,1,Earring,86
2,0,Female,1,Blonde Bob,20
3,1,Male,1,Smile,34
4,1,Male,1,Mohawk,67
5,2,Female,1,Wild Hair,70
6,3,Male,1,Wild Hair,70
7,3,Male,1,Nerd Glasses,80
8,3,Male,1,Pipe,57
9,4,Male,1,Big Shades,79
10,4,Male,1,Wild Hair,70
11,4,Male,1,Earring,86
12,4,Male,1,Goat,52
13,5,Female,1,Purple Eye Shadow,39
14,5,Female,1,Half Shaved,19
15,5,Female,1,Earring,86
16,6,Male,1,Do-rag,53
17,7,Female,1,Wild White Hair,13
18,7,Female,1,Spots,10
19,7,Female,1,Clown Eyes Blue,62
20,8,Male,1,Messy Hair,71
21,8,Male,1,Luxurious Beard,47
22,9,Male,1,Clown Nose,33
23,9,Male,1,Police Cap,32
24,9,Male,1,Big Beard,17
25,10,Female,1,Blue Eye Shadow,41
26,10,Female,1,Mohawk,67
27,11,Female,1,Black Lipstick,81
28,11,Female,1,Clown Eyes Green,61
29,11,Female,1,Straight Hair Dark,23
30,12,Female,1,Blonde Short,12
31,12,Female,1,Purple Lipstick,83
32,13,Female,1,Big Shades,79
33,13,Female,1,Black Lipstick,81
34,13,Female,1,Straight Hair Blonde,16
35,14,Female,1,Pipe,57
36,14,Female,1,Pilot Helmet,2
37,14,Female,1,Hot Lipstick,84
38,15,Male,1,Luxurious Beard,47
39,15,Male,1,Wild Hair,70
40,15,Male,1,Regular Shades,77
41,16,Male,1,Stringy Hair,73
42,16,Male,1,Earring,86
43,16,Male,1,Small Shades,60
44,17,Male,1,Frown,38
45,17,Male,1,Mohawk,67
46,18,Male,1,Eye Mask,51
47,18,Male,1,Muttonchops,55
48,19,Female,1,Bandana,74
49,19,Female,1,Horned Rim Glasses,78
50,19,Female,1,Hot Lipstick,84
51,20,Male,1,Crazy Hair,64
52,21,Male,1,Messy Hair,71
53,21,Male,1,Classic Shades,75
54,21,Male,1,Earring,86
55,22,Female,1,Pilot Helmet,2
56,22,Female,1,Purple Lipstick,83
57,23,Male,1,Handlebars,40
58,23,Male,1,Earring,86
59,23,Male,1,Do-rag,53
60,24,Male,1,Smile,34
61,24,Male,1,Mohawk Dark,66
62,25,Female,1,Wild White Hair,13
63,26,Female,1,Dark Hair,26
64,27,Male,1,Peak Spike,56
65,27,Male,1,Earring,86
66,28,Male,1,Big Shades,79
67,28,Male,1,Crazy Hair,64
68,29,Female,1,Horned Rim Glasses,78
69,29,Female,1,Half Shaved,19
70,29,Female,1,Earring,86
71,30,Male,1,Normal Beard Black,49
72,30,Male,1,Cap,59
73,31,Female,1,Stringy Hair,73
74,32,Male,1,Frown,38
75,32,Male,1,VR,58
76,33,Male,1,Peak Spike,56
77,34,Female,1,Frumpy Hair,69
78,34,Female,1,Purple Lipstick,83
79,35,Male,1,Cigarette,85
80,35,Male,1,Peak Spike,56
81,35,Male,1,Earring,86
82,35,Male,1,Horned Rim Glasses,78
83,35,Male,1,Normal Beard,50
84,36,Female,1,Red Mohawk,18
85,37,Female,1,Cap,59
86,37,Female,1,Clown Eyes Blue,62
87,38,Female,1,Frumpy Hair,69
88,38,Female,1,Classic Shades,75
89,38,Female,1,Purple Lipstick,83
90,39,Male,1,Frown,38
91,39,Male,1,Shaved Head,54
92,39,Male,1,Regular Shades,77
93,40,Male,1,Bandana,74
94,40,Male,1,Chinstrap,45
95,40,Male,1,Smile,34
96,41,Male,1,Muttonchops,55
97,41,Male,1,Wild Hair,70
98,41,Male,1,Clown Eyes Green,61
99,42,Female,1,Wild Hair,70
100,42,Female,1,Cigarette,85
101,43,Female,1,Half Shaved,19
102,44,Male,1,Messy Hair,71
103,45,Male,1,Earring,86
104,45,Male,1,Mole,82
105,46,Female,1,Purple Lipstick,83
106,46,Female,1,Straight Hair Dark,23
107,47,Male,1,Knitted Cap,65
108,48,Male,1,Big Shades,79
109,48,Male,1,Mohawk,67
110,49,Female,1,Bandana,74
111,49,Female,1,Purple Eye Shadow,39
112,50,Male,1,Spots,10
113,50,Male,1,Fedora,31
114,51,Male,1,Muttonchops,55
115,51,Male,1,Wild Hair,70
116,51,Male,1,Earring,86
117,52,Male,1,Shadow Beard,76
118,52,Male,1,Earring,86
119,52,Male,1,Nerd Glasses,80
120,52,Male,1,Knitted Cap,65
121,53,Female,1,Big Shades,79
122,53,Female,1,Straight Hair,24
123,54,Male,1,Hoodie,36
124,55,Male,1,Eye Patch,72
125,56,Male,1,Shaved Head,54
126,57,Male,1,Headband,63
127,58,Male,1,Normal Beard Black,49
128,58,Male,1,Hoodie,36
129,59,Male,1,Muttonchops,55
130,59,Male,1,Cowboy Hat,14
131,60,Female,1,Stringy Hair,73
132,60,Female,1,Purple Lipstick,83
133,61,Female,1,Dark Hair,26
134,62,Female,1,Hot Lipstick,84
135,62,Female,1,Earring,86
136,62,Female,1,Mohawk Dark,66
137,62,Female,1,Clown Eyes Blue,62
138,63,Male,1,Earring,86
139,63,Male,1,Shaved Head,54
140,63,Male,1,Small Shades,60
141,64,Female,1,Straight Hair Blonde,16
142,64,Female,1,Purple Lipstick,83
143,65,Female,1,Eye Mask,51
144,65,Female,1,Headband,63
145,66,Female,1,Tassle Hat,30
146,67,Female,1,Half Shaved,19
147,67,Female,1,Purple Lipstick,83
148,67,Female,1,3D Glasses,46
149,68,Male,1,Nerd Glasses,80
150,68,Male,1,Do-rag,53
151,69,Male,1,Normal Beard Black,49
152,69,Male,1,Fedora,31
153,70,Female,1,Crazy Hair,64
154,70,Female,1,Regular Shades,77
155,70,Female,1,Earring,86
156,70,Female,1,Cigarette,85
157,71,Female,1,Green Eye Shadow,42
158,71,Female,1,Half Shaved,19
159,71,Female,1,Purple Lipstick,83
160,72,Male,1,Fedora,31
161,72,Male,1,Earring,86
162,72,Male,1,Nerd Glasses,80
163,72,Male,1,Normal Beard,50
164,73,Female,1,Black Lipstick,81
165,73,Female,1,Bandana,74
166,73,Female,1,Earring,86
167,74,Male,1,Shadow Beard,76
168,74,Male,1,Earring,86
169,74,Male,1,Mohawk Dark,66
170,75,Male,1,Shadow Beard,76
171,75,Male,1,Knitted Cap,65
172,75,Male,1,Eye Patch,72
173,76,Male,1,Cigarette,85
174,76,Male,1,Do-rag,53
175,77,Male,1,Stringy Hair,73
176,77,Male,1,Handlebars,40
177,78,Male,1,Handlebars,40
178,78,Male,1,Knitted Cap,65
179,78,Male,1,Eye Patch,72
180,79,Male,1,Normal Beard,50
181,79,Male,1,Mohawk Dark,66
182,80,Male,1,Wild Hair,70
183,80,Male,1,Mustache,48
184,81,Male,1,Headband,63
185,81,Male,1,Small Shades,60
186,82,Male,1,Headband,63
187,83,Male,1,Vape,43
188,83,Male,1,Shaved Head,54
189,83,Male,1,Small Shades,60
190,84,Male,1,Messy Hair,71
191,84,Male,1,Big Shades,79
192,84,Male,1,Earring,86
193,85,Female,1,Crazy Hair,64
